accidents,traffic_fine_amount,traffic_density,traffic_lights,pavement_quality,urban_area,average_speed,rain_intensity,vehicle_count,time_of_day
14,8.2756,0.5779,0.4941,1.2566,1,49.6427,1.0319,2.9041,4.9592
23,3.7415,1.4065,0.857,0.607,0,26.4456,2.2907,48.075,14.4866
29,1.879,7.1663,0.5462,0.1767,1,28.7699,0.7972,27.089,20.8366
18,7.1581,4.3728,0.4117,1.3784,1,47.3323,0.8534,54.4559,0.4617
18,4.9614,4.0355,0.1078,4.9424,1,19.9796,1.623,18.6871,12.1101
22,2.0983,1.3697,0.3934,1.3511,0,27.7841,1.389,6.6287,23.5769
23,5.4566,5.0677,0.7339,3.3185,1,18.9543,2.8667,32.9946,3.8223
24,1.3095,1.2655,0.9213,0.5915,1,27.293,0.7902,30.2552,4.4019
7,9.1839,4.7662,0.2517,3.0092,0,4.0383,0.2757,71.9794,11.2998
25,3.329,7.6362,0.3552,4.9224,1,39.1897,1.6229,47.9803,20.9038
15,6.9627,2.5826,0.154,1.4592,1,49.264,0.5536,29.8415,13.5062
22,3.8054,4.8079,0.6907,4.2404,1,3.287,1.2409,57.4726,12.209
20,5.6806,9.9202,0.9602,4.9879,1,40.052,0.5616,8.0604,2.0822
24,5.9204,6.8665,0.641,2.9428,1,12.0867,2.6429,66.5729,23.0877
28,2.6637,8.4136,0.6171,1.547,1,9.8774,0.9823,15.5816,8.3308
15,9.7263,4.1485,0.5535,3.3677,1,34.6685,2.3246,28.6902,6.0434
17,7.9762,7.6786,0.0885,4.2242,0,2.2066,2.8458,28.9302,9.8819
14,9.4555,0.4051,0.7295,0.8568,0,23.162,2.8217,47.1193,9.9404
13,9.0534,1.2291,0.602,2.2626,1,0.0722,1.5744,95.3626,11.0048
22,6.3811,2.0307,0.6615,1.5959,1,27.7197,2.9498,33.1413,16.5249
16,9.2969,4.0195,0.8988,1.4168,0,23.1041,1.9678,28.8509,20.8307
26,1.7964,8.4574,0.784,4.3041,1,45.7741,0.3855,17.7114,1.3755
27,2.7638,3.4627,0.7809,2.1083,0,36.0136,2.6651,39.8049,11.7784
29,1.407,6.5462,0.9272,1.6954,1,6.3003,1.4061,19.0221,9.9355
22,3.928,7.0931,0.9899,3.0176,1,17.727,0.4581,14.6392,0.2611
28,4.4981,5.8618,0.5813,1.097,0,46.579,2.3743,85.8785,19.5957
22,3.4421,3.5724,0.1089,1.1495,1,36.2667,1.8732,6.2112,2.5035
16,8.4586,5.7705,0.4591,2.6014,1,29.7138,2.6464,71.3717,2.754
22,4.2108,3.4227,0.7876,2.0464,0,27.9536,2.482,21.0545,1.1592
18,3.5284,0.8387,0.0277,1.4749,1,19.9049,0.9603,2.1598,4.8101
23,5.8843,9.928,0.0569,0.2698,1,29.2601,0.7689,79.7194,4.2436
24,2.2683,1.2718,0.0672,2.6039,1,38.5832,2.2015,70.5263,8.3488
12,8.2198,0.7235,0.731,4.083,0,6.3769,1.7199,34.0956,15.8225
26,1.671,8.7853,0.5012,4.2569,1,48.4915,0.2096,8.8539,1.3031
13,9.882,3.0183,0.3689,1.1772,1,11.9682,0.5449,36.7065,20.6466
15,7.9502,6.503,0.1056,2.9982,1,22.3871,0.4541,18.9514,7.8379
23,2.7884,3.2901,0.7322,4.2794,1,1.1358,1.7694,93.3179,14.5586
24,1.0497,3.9145,0.321,2.0436,1,27.5173,0.2573,53.4327,0.2881
10,8.3392,2.6211,0.2653,4.6607,0,19.0933,0.6231,96.4205,8.7794
13,7.3617,3.4304,0.6523,4.5149,0,12.4878,1.6361,35.7801,0.0492
15,7.5611,4.107,0.559,1.0407,0,49.2762,0.3992,56.0898,3.971
17,7.9414,7.2042,0.3624,1.2948,1,21.4071,0.7448,19.8222,10.7484
29,1.6664,5.1154,0.6415,0.9022,0,20.7148,2.7204,81.0345,12.8421
27,4.2262,9.4357,0.2712,0.9803,1,23.1552,2.0914,5.0689,3.6703
21,2.0428,0.4188,0.7948,4.5393,1,5.8077,0.9206,69.8659,17.8852
13,8.7679,5.0307,0.2293,4.6557,1,19.6548,2.6321,39.7743,4.5361
17,6.6097,5.8422,0.1588,0.2595,1,16.8202,0.7509,58.2632,2.7803
25,3.9781,9.202,0.7824,2.968,1,23.2562,1.7672,59.6337,8.0022
23,1.572,0.4916,0.7079,2.8212,1,42.8311,1.1055,71.3687,13.2343
25,3.7988,5.735,0.1826,1.9527,1,9.6393,2.2564,21.222,23.7336
23,3.9266,8.5363,0.1162,3.1585,0,30.387,1.1148,53.6072,10.0492
11,7.5665,2.4193,0.8384,4.7368,0,1.8819,0.7466,43.2657,10.2239
23,6.738,8.7629,0.7766,0.8513,0,15.8396,1.8231,28.9359,1.424
15,8.9849,0.1904,0.3273,0.6021,1,23.6329,2.236,50.0771,18.3797
25,5.2499,7.3245,0.6582,0.167,1,3.714,1.6091,95.2495,4.3628
29,2.0763,9.3311,0.1242,1.8192,0,27.1984,2.1489,94.9396,17.8753
18,7.4192,6.572,0.507,1.6881,0,15.5163,1.266,28.6029,21.8548
19,7.8471,4.3903,0.0187,2.1541,1,49.6405,2.3863,88.5365,18.4373
17,6.0515,0.4488,0.3916,2.5166,0,31.5485,1.7551,87.7987,15.4189
16,7.9387,9.2011,0.0748,3.7891,1,12.2088,0.5887,25.7089,14.494
21,5.4442,4.703,0.4751,1.9606,0,5.1337,2.6723,60.2961,10.8872
19,5.7046,0.29,0.4217,1.6531,1,2.036,2.5105,87.1236,3.469
24,4.8479,6.8982,0.4444,4.1344,1,4.5387,2.8917,51.9845,18.6921
27,1.2288,4.8184,0.0453,4.249,1,34.003,1.707,37.6072,11.4557
26,1.971,1.2435,0.3616,1.1638,0,42.7496,2.0272,65.4278,15.0155
25,1.2829,2.1427,0.7565,1.5734,0,7.8367,2.5907,18.0701,8.9764
11,6.7277,0.6449,0.3689,4.1256,1,20.1067,0.1578,17.0114,4.8173
29,3.8292,5.7429,0.7152,0.397,1,17.7118,2.7366,83.432,19.3562
20,5.5771,6.2203,0.3695,1.6292,1,32.2259,0.8135,5.1456,8.2176
14,9.1681,5.0574,0.4232,2.2418,1,9.1339,0.1711,80.5594,20.8003
25,3.2436,8.171,0.5639,0.9354,0,47.666,0.7128,29.7589,23.1774
28,4.6934,8.6101,0.9507,0.8996,1,36.4278,1.7591,48.8291,19.9197
16,7.8,6.1562,0.1089,2.1243,1,47.7536,0.1435,54.808,3.0753
16,3.0592,0.1276,0.0329,3.7726,1,13.8685,0.0023,76.9399,20.5203
30,1.6928,6.9523,0.608,4.2012,1,29.3858,1.9181,88.5019,12.4646
20,3.6078,4.18,0.9491,4.8962,0,36.6134,1.3602,80.6182,5.7939
30,2.451,5.6556,0.9897,0.3699,1,35.5478,2.533,57.662,2.2357
14,9.3673,6.4908,0.4842,1.0834,1,1.0673,0.7726,35.4534,6.6842
12,8.2731,3.5024,0.4681,3.7831,1,49.9145,0.8421,53.1292,3.2982
18,6.7006,9.171,0.645,2.703,0,46.403,0.2326,3.9721,0.6155
14,8.8431,1.3397,0.5556,1.6384,1,5.9876,1.6155,25.253,23.7063
16,8.233,6.7151,0.6341,1.0279,0,27.1783,1.0977,37.2494,19.957
19,2.6791,0.0436,0.874,1.4024,1,15.7278,1.0191,32.6557,17.7348
17,9.033,9.2465,0.7463,2.1464,0,43.9447,1.3729,10.4195,4.6323
21,5.8541,1.125,0.4969,0.8858,1,34.876,2.5491,6.0247,0.6657
11,8.267,0.9488,0.4619,4.8211,1,11.1759,0.3156,42.6508,11.6449
12,9.0648,3.3301,0.6396,0.5379,0,1.6931,1.5708,8.4052,17.8007
21,3.862,3.7357,0.4557,4.9279,1,14.5871,0.5893,29.3346,23.1081
22,1.9905,2.143,0.4578,4.2095,1,1.9069,0.6372,48.0077,20.2532
22,3.0514,5.8512,0.0163,2.1158,1,7.0655,0.7702,21.7862,21.4441
19,4.844,4.4291,0.1741,3.6991,0,31.8069,1.3782,8.874,5.7279
12,8.3621,0.3418,0.4885,3.3576,1,37.2543,1.4832,43.7812,3.7278
18,8.7466,3.1965,0.8227,1.0664,1,23.4008,2.6145,45.3992,5.9468
31,1.0626,8.1043,0.2787,1.6954,1,30.0144,2.6763,91.6458,3.3259
22,5.5967,6.897,0.5226,2.5656,1,7.7943,1.76,13.6559,19.1636
21,4.7567,7.2487,0.345,3.1892,0,15.8398,0.8442,61.8845,21.673
29,2.999,6.9812,0.1048,2.7145,1,35.6442,2.4553,32.6506,7.3762
27,2.0788,3.1097,0.9583,2.3649,1,18.2446,2.3786,13.2362,21.0462
20,4.0385,0.9966,0.8547,2.2158,1,17.4406,2.3939,39.9216,1.3208
8,9.4862,2.7247,0.0785,2.4913,1,9.6996,0.0491,43.3658,16.2566
31,3.9088,8.3179,0.7198,2.1718,1,29.7412,2.2616,36.9929,12.6598
26,5.6691,9.8047,0.3476,2.7067,1,40.4769,2.5582,76.8075,6.6418
21,7.3272,4.9385,0.9948,4.4399,1,23.4723,1.8151,84.0814,18.4368
16,4.2727,0.097,0.3024,3.1641,1,5.777,2.2537,15.7244,5.0891
13,9.746,1.4004,0.2387,3.6131,1,41.9184,2.3285,17.6226,9.9876
13,9.662,3.2208,0.5679,2.9874,1,3.5699,1.5198,42.7005,17.0366
26,3.266,5.7859,0.8351,3.2151,1,23.5864,2.4409,32.6987,8.1175
18,5.4752,0.7509,0.1925,2.8917,0,13.0539,2.3769,82.1378,20.5286
33,3.7079,9.4336,0.7094,0.1343,1,46.8159,2.7483,99.6843,20.7702
21,3.5636,3.6508,0.0614,4.998,1,36.8772,2.7641,18.9299,4.8607
33,1.332,9.1258,0.9189,0.168,1,28.3204,1.5891,76.4919,10.5694
16,6.4861,7.8052,0.0811,1.9757,0,33.3878,0.0945,61.1174,10.3683
21,5.5241,7.5544,0.9142,0.5256,0,26.6364,0.0573,64.798,9.8411
29,1.4633,6.0672,0.4908,0.4846,0,7.38,2.8168,27.1797,12.0473
24,3.5078,6.2678,0.4481,3.9676,1,35.4549,1.0121,10.6224,1.7848
16,9.1744,6.38,0.9733,2.1296,0,24.6337,1.1326,54.7824,20.8812
25,3.1561,6.2872,0.9904,4.0057,1,31.7155,1.4097,61.7371,6.958
23,2.3041,5.5373,0.6502,1.3639,1,2.2601,0.7974,96.3418,0.0435
25,5.4051,9.8641,0.1271,1.2823,1,7.1017,1.7712,67.8479,16.4425
17,9.8709,7.3229,0.5062,1.2562,0,29.4685,2.3539,44.9247,15.6113
28,3.1785,7.7695,0.5292,3.0807,1,22.9714,0.772,99.4061,23.5959
21,7.0492,8.7246,0.5144,4.075,1,11.3437,2.2292,37.9507,17.2619
13,7.8546,2.1564,0.5695,2.2613,0,12.038,2.0161,17.0933,7.9849
23,3.1387,0.838,0.0187,1.8962,1,31.5829,1.5768,62.18,22.8628
13,7.5539,4.8289,0.7112,4.8679,1,2.9484,0.9763,27.3588,8.7683
29,4.31,5.1408,0.7124,0.5838,1,21.7129,2.6183,92.2983,19.7099
22,6.6908,8.2918,0.1155,2.4332,1,26.1552,1.2084,43.359,8.0562
14,6.7018,4.4378,0.5702,2.0424,0,15.4071,1.124,15.812,1.169
25,5.822,5.7085,0.5684,0.4906,1,41.0275,1.9241,15.0214,17.6108
28,1.8126,5.2707,0.6825,1.341,1,2.8385,2.761,65.3143,8.4051
14,8.5177,0.382,0.0854,0.1422,1,43.2891,1.5241,37.2238,8.1333
26,3.887,6.1521,0.6265,4.3848,1,36.1631,2.1681,37.0087,17.1804
25,2.6787,8.2804,0.2808,3.0392,0,22.3127,1.3706,61.6201,7.7289
20,1.367,1.575,0.507,4.0751,0,46.2234,0.6564,22.9297,2.8323
18,6.318,5.9433,0.7733,2.6078,0,35.1119,0.3719,15.3974,9.7082
19,7.0981,5.9361,0.7056,2.9975,0,46.5523,0.409,66.069,19.7723
18,1.1493,1.6418,0.1189,3.5043,0,23.6295,0.064,1.5185,3.1249
17,5.6088,1.2346,0.5912,4.5401,1,22.6487,1.6587,90.8291,13.3075
28,3.0385,9.8005,0.9691,0.4588,1,26.5371,0.3933,19.1141,3.1742
17,6.8066,3.9372,0.1568,1.6547,1,3.2713,2.5971,45.3377,1.1804
27,2.5693,2.2742,0.8529,3.5451,1,45.4247,2.9487,21.9364,9.089
15,7.2184,1.7132,0.7025,4.7918,1,33.3859,1.4876,22.6037,15.7892
21,4.4806,6.676,0.774,4.904,1,30.8793,1.349,83.6651,6.5997
15,9.4306,6.0945,0.282,3.1905,0,46.3232,1.0442,58.9183,10.6975
29,2.2377,6.4355,0.2879,0.968,1,49.6819,1.9141,31.8336,11.7919
20,4.0696,0.8801,0.906,0.596,0,8.1697,1.8241,25.8588,20.191
27,2.0213,8.9353,0.3598,4.7302,0,37.4498,1.0301,22.0734,19.6555
13,9.3222,3.8927,0.063,2.1696,1,28.9973,1.0295,55.8904,0.0563
15,8.8961,3.1337,0.6006,0.9741,1,23.0499,1.9344,73.3482,9.9341
24,3.3215,4.6236,0.1248,4.6695,1,48.8806,1.6636,26.0992,15.7462
23,6.9399,3.9007,0.7966,0.5226,1,42.5132,2.1557,33.8978,20.4575
21,8.355,8.6358,0.6417,3.6479,0,34.8375,2.8242,72.3162,1.1735
26,5.9968,9.2926,0.8747,3.1263,1,19.1338,2.3388,73.9905,15.078
20,5.7669,3.0345,0.7848,0.4387,0,33.302,0.913,21.525,20.2085
26,3.1767,8.6394,0.1121,1.6937,0,26.5847,2.2774,38.838,6.1218
28,1.8379,7.8152,0.3811,0.7497,0,12.4684,1.3501,87.1258,4.9262
20,9.0749,9.3081,0.7746,3.0225,1,22.5191,2.333,74.279,11.2284
17,9.1038,2.4575,0.4173,2.3856,1,10.6106,2.6597,17.087,23.1019
21,6.6979,5.7696,0.9724,0.0214,1,25.021,0.7498,39.2103,16.6293
20,4.0513,2.7454,0.7357,4.8786,1,36.0119,0.7159,97.3561,10.1876
21,4.1429,8.2409,0.0155,1.7479,1,1.8323,1.2979,53.0124,0.5007
14,7.5336,0.0532,0.88,1.291,1,38.269,0.1546,72.2153,13.3614
16,9.074,5.6482,0.1008,1.1122,1,0.9997,2.0571,10.1115,8.3709
18,8.9838,3.392,0.1405,0.7941,1,25.8639,2.2491,83.4185,4.4571
15,8.0189,3.2268,0.7345,4.9957,1,28.6738,1.0363,60.8737,12.0036
21,6.7783,6.4491,0.865,1.4755,1,38.0622,1.3959,18.3844,8.1932
29,1.7573,8.5148,0.5363,2.0276,1,38.0514,1.7711,38.641,0.9294
23,2.4547,6.092,0.289,4.3568,1,20.8728,0.2208,9.2197,17.4121
18,9.087,8.5317,0.3513,3.2094,1,3.3186,2.1339,77.924,17.582
18,6.4579,2.646,0.3429,1.8435,1,34.675,1.5801,74.743,14.852
27,1.0828,5.195,0.3267,4.4916,1,25.5493,1.8728,49.5329,20.1797
25,1.9132,4.5054,0.2429,3.7486,1,16.6529,2.1715,45.7496,4.8764
15,6.9715,0.1164,0.6089,1.1395,0,11.7437,2.0267,46.879,6.8688
24,1.0456,5.5681,0.9004,3.2187,1,5.9879,0.286,4.7092,11.0077
27,2.4473,6.6152,0.3071,4.612,1,14.7571,2.3478,37.4563,1.4442
21,5.9386,5.9191,0.1867,2.4823,0,22.9245,1.8301,13.7219,21.2051
23,7.2271,7.3628,0.8386,3.6681,1,23.8805,2.1446,19.2944,11.7751
17,6.8677,5.7134,0.7418,4.8555,1,29.1369,0.7845,96.2496,7.7919
17,3.0184,0.6675,0.9308,3.4521,0,18.1234,0.6643,26.9167,11.4711
16,7.4096,1.1645,0.1655,0.5122,0,45.9949,2.4783,48.8789,7.8031
25,3.1352,5.9647,0.1443,1.2228,1,24.7935,1.1712,88.8915,6.8703
22,3.9286,2.7498,0.5414,2.9755,1,21.1863,1.726,41.9356,10.7524
13,7.7184,0.7965,0.6144,1.3778,0,2.4084,1.6548,53.3332,11.5657
18,6.8467,4.296,0.4802,4.7877,1,29.9508,1.7555,17.71,10.4003
16,8.643,5.5432,0.599,2.0268,1,30.1434,0.2085,29.2229,13.1503
16,6.9185,3.2875,0.1804,2.2862,1,29.1645,0.9074,51.1053,18.8011
17,6.1148,7.2043,0.4796,3.508,1,44.3798,0.1994,37.1252,1.3744
28,1.8431,6.4377,0.6581,2.6212,0,38.145,1.4405,4.7873,19.4764
25,4.3094,3.3282,0.4327,1.9107,1,43.3703,2.7063,40.6821,5.4848
26,3.3868,7.5487,0.6794,0.3832,1,2.9711,1.1675,81.6955,6.0502
27,3.1959,6.487,0.4512,2.9822,1,15.9063,2.3473,12.4899,14.3872
11,9.7571,6.3745,0.3336,4.3379,1,15.9356,0.8617,2.8544,23.4161
22,4.5379,5.5343,0.3036,3.4288,0,32.8523,2.5688,12.7516,0.4176
11,9.0284,0.1139,0.4109,1.9075,0,22.4308,1.2585,69.0001,16.1552
21,6.6802,6.9651,0.0231,0.6386,0,38.8736,1.0657,79.6698,16.7255
13,8.1533,3.7604,0.6685,4.0817,0,19.2215,2.0924,5.8239,13.7676
22,5.5237,9.4261,0.8451,4.7087,1,11.0804,1.5383,88.8675,0.2326
21,6.1921,8.1798,0.3546,1.9414,1,14.5476,1.012,63.1052,14.5524
15,5.4327,5.8769,0.046,3.6432,0,9.1235,0.1743,52.295,2.7605
19,2.7572,2.5218,0.9868,2.0538,0,9.8946,0.4999,26.1056,1.8736
14,7.5021,2.0372,0.2637,2.5113,0,10.8419,2.317,37.7983,16.7055
22,3.527,3.4038,0.1266,4.1824,1,0.8047,2.7622,94.7504,16.8056
29,1.2188,4.7657,0.3698,0.4171,1,35.8044,0.5065,91.2431,21.3579
18,6.8093,2.9607,0.7386,2.6517,1,19.9801,1.7083,62.921,0.0811
24,2.594,5.1493,0.2939,1.0731,1,1.1336,0.1025,58.3122,9.0902
10,9.4641,1.6537,0.5747,1.699,1,18.5004,0.8725,21.8439,0.2945
16,9.5854,9.7771,0.4156,3.2221,0,45.2684,1.3464,95.3746,8.7519
15,9.2338,1.0792,0.1178,0.1361,1,25.5622,2.2076,75.7838,11.7998
23,4.3314,9.3194,0.3303,2.9691,1,49.3376,0.1323,38.8437,12.7135
33,1.1391,9.1358,0.7249,1.4172,1,26.998,2.3437,81.7673,8.5424
15,9.3549,5.2536,0.612,3.3474,1,48.1399,0.6079,21.9756,17.4072
26,4.8537,7.2491,0.1198,0.7079,1,10.09,2.2786,22.1096,9.9743
12,9.6999,4.3605,0.1633,3.6791,0,14.4967,1.8764,79.3052,12.411
14,9.6726,6.3003,0.6407,3.2282,0,34.9985,1.0187,56.3715,19.2021
17,8.6771,3.4058,0.8134,4.8562,1,49.3411,2.1713,56.0277,4.1833
18,3.65,3.0116,0.3495,4.5562,0,41.2649,0.709,57.7934,7.7015
22,4.4659,5.7823,0.5953,1.4165,0,27.6853,0.6592,13.4549,12.5143
17,8.6602,4.9813,0.1706,0.1366,1,4.2576,0.1852,35.6063,18.4228
21,3.8523,5.7954,0.3114,3.2768,1,18.219,1.1792,57.7349,10.2085
19,2.5254,2.8666,0.0203,3.0144,1,4.3213,0.2931,25.5113,1.7464
21,6.0112,3.6696,0.7683,0.1371,0,15.5641,1.2585,50.8965,23.7319
9,9.4254,0.839,0.401,0.6134,0,12.9396,0.0294,56.1465,16.9899
15,7.2643,0.5228,0.8161,2.9235,1,19.4278,0.4653,94.3386,17.3456
20,6.1306,2.5346,0.7084,4.5591,1,41.8638,2.7971,25.3318,11.1625
24,1.8746,0.7425,0.8287,4.5325,1,7.5188,2.3867,44.4964,13.129
17,6.5351,1.0377,0.2857,0.7574,1,15.3032,0.7085,98.1696,23.8572
17,9.9105,8.1293,0.1851,1.9229,1,13.0559,2.1549,19.4922,14.2828
24,2.2608,0.3887,0.9719,0.216,0,14.8071,2.0054,78.2219,5.2543
20,5.665,6.5894,0.7173,2.3464,0,18.0312,0.5308,18.5383,23.1451
10,8.8964,2.7256,0.834,3.7654,0,12.2156,1.1132,85.1546,12.9063
22,7.6669,8.7155,0.0131,3.9499,1,47.1291,2.7411,49.3094,0.4962
18,7.2731,4.8499,0.3545,2.4949,0,21.0051,2.2162,97.244,13.7604
17,7.3224,3.0558,0.7428,0.4793,1,5.7057,2.281,17.8374,1.6914
24,4.2354,5.1764,0.078,1.9068,1,23.3829,1.6917,69.1047,12.6621
20,3.6423,3.8196,0.5673,4.6605,0,9.2216,1.9966,69.8326,19.808
17,8.2843,5.643,0.4291,1.1481,1,10.8065,1.5262,72.1687,12.9328
12,8.291,1.1453,0.0176,1.5988,1,14.2521,2.2227,10.9959,8.9629
19,8.8037,9.9699,0.236,3.7341,1,6.238,2.1982,29.5675,21.1826
15,9.2192,4.2556,0.2848,3.6679,1,36.0559,0.0932,34.4637,22.2622
16,5.6021,3.4823,0.1119,4.561,0,39.5973,1.8953,33.1045,8.3398
24,5.5136,7.1021,0.6315,1.9406,1,19.7142,1.8894,67.8271,11.9748
14,8.1847,3.639,0.2424,2.573,0,34.4496,0.202,6.4281,23.5901
20,6.8497,8.3327,0.2776,2.337,1,19.4477,1.2311,73.2778,4.2744
18,7.3177,4.5427,0.8982,4.6388,1,8.2039,2.6964,53.1319,7.1557
19,8.1621,7.1956,0.4671,3.8467,1,19.8584,2.8603,18.1267,10.2821
11,9.01,1.0745,0.3921,4.1572,0,27.8494,2.3466,23.3858,2.4213
23,4.042,8.4612,0.7239,0.6655,1,2.0497,0.4544,10.6605,6.529
26,4.3802,7.3572,0.9096,3.9592,1,32.7242,1.1242,46.4468,13.0725
21,1.8458,2.1172,0.025,2.1649,1,37.1304,0.5477,59.8972,5.484
21,6.2045,1.4529,0.4482,0.1167,0,42.9985,1.9564,58.5162,16.4708
29,1.3235,3.1629,0.6108,0.3004,1,5.1385,2.3194,96.2744,8.3441
23,5.1904,9.7607,0.3186,3.3895,0,0.0047,2.6513,30.3006,2.1551
20,5.8838,2.5683,0.7724,1.8601,0,3.6633,2.5819,76.4459,18.3488
22,3.5789,4.5613,0.9715,4.3406,1,46.2058,0.2976,72.5847,13.618
13,6.3175,0.3002,0.9434,3.6714,0,38.2778,0.377,7.0714,19.7969
32,1.2745,3.9723,0.266,0.1084,1,41.7718,2.729,93.0705,8.6436
28,1.3361,5.7132,0.2263,3.4344,1,25.8507,2.5314,93.1991,0.4651
19,8.4034,9.5312,0.9575,0.9618,1,26.336,1.3811,40.2372,1.1205
20,4.2417,5.1674,0.4586,2.1129,0,14.9253,1.2902,42.3501,19.0908
27,2.1435,8.1911,0.2083,3.1237,0,42.1377,1.6584,82.1401,9.8554
22,5.7002,5.4713,0.707,4.3636,0,41.4885,1.7899,50.008,23.4333
11,7.9299,0.4079,0.2844,2.2805,0,19.6086,0.7626,80.1209,19.9274
19,2.9424,3.1501,0.2672,4.0425,1,16.4634,1.2112,4.5764,0.3869
21,6.606,5.7555,0.8792,3.9148,1,36.9187,1.8591,25.7768,20.8795
27,1.7681,9.5059,0.1625,2.0727,1,1.3084,0.6188,10.0154,5.1088
33,1.4651,8.5913,0.0644,2.5049,1,42.9974,2.9965,45.9656,11.6704
16,5.7822,2.2836,0.2692,3.5024,0,22.3124,0.8488,85.5618,12.1469
16,5.8657,2.2011,0.6069,0.1557,0,22.0672,1.6572,57.409,1.4333
15,6.7369,2.0117,0.1231,4.4541,1,33.4539,1.6625,52.513,3.016
21,7.5348,9.225,0.4716,3.8491,1,32.2875,1.3545,37.2446,10.1531
17,9.7827,8.5267,0.6273,1.2471,1,13.2987,0.7246,7.2974,15.4229
22,5.6467,7.7488,0.8487,4.9059,0,47.1639,1.6961,76.8746,6.346
20,3.9066,3.9274,0.2299,0.897,0,49.3165,0.273,57.5058,12.6336
14,8.1567,5.0438,0.8173,4.5704,0,26.2995,1.1608,93.1656,9.0992
23,3.4375,4.6433,0.2349,1.6224,1,28.069,0.6728,43.7646,15.1287
14,4.9507,2.534,0.6768,3.8157,0,27.7159,0.3725,40.7485,10.1865
32,1.7061,5.0503,0.4307,2.2819,1,24.2894,2.7764,97.4604,20.4392
23,1.2282,0.305,0.1147,3.6823,1,47.2594,2.0998,14.9746,23.6099
10,9.6638,1.3181,0.7143,0.7789,1,12.2376,0.5065,25.9838,21.9132
17,8.5238,8.8659,0.2178,1.3475,0,5.3979,2.8482,49.3283,4.0465
21,7.2638,7.5168,0.1766,0.4993,1,46.4774,0.648,52.8309,10.9723
16,4.6806,4.2287,0.3583,4.3257,0,10.6519,0.7068,55.3229,11.0116
25,2.5596,5.1715,0.6533,1.4815,1,37.4578,0.3998,21.9989,20.1712
23,2.4079,3.7,0.234,3.4724,0,10.1937,2.1836,92.758,8.5725
25,3.2522,7.4078,0.1837,4.1011,0,48.0093,1.7126,70.6467,13.1904
17,5.943,7.8419,0.01,4.5071,1,39.5561,0.1748,26.5855,14.6227
